authoring_key,recipe_name,meal_type,recipe_format,cuisine_family,difficulty,prep_time_min,cook_time_min,ingredient_ids,ingredient_summary,calories,protein_g,carbs_g,fat_g,fiber_g,ingredient_count,measurement_basis_status,serving_bounds_status,serving_step_review_count,meal_timing_review_count,nutrition_review_decision,nutrition_review_notes,nutrition_reviewer_name,nutrition_reviewed_at,portion_review_decision,portion_review_notes,workout_timing_review_decision,workout_timing_review_notes,final_nutrition_status
pilot01_breakfast_greek_yogurt_oat_strawberry_bowl,Greek yogurt oat strawberry bowl,breakfast,bowl,neutral,easy,8,0,49|30|93|111,Yogurt greco 0% 175g raw | Fiocchi di avena 50g raw | Fragole 125g raw | Miele 15g raw,383.4,27.2,61.4,4.5,7.8,4,PASS,PASS,0,0,,,,,,,,,PENDING
pilot01_snack_apple_with_almonds,Apple with almonds,snack,handheld,neutral,easy,5,0,91|104,Mela 155g raw | Mandorle 25g raw,225.4,5.8,26.8,12.8,6.8,2,PASS,PASS,0,0,,,,,,,,,PENDING
pilot01_lunch_dinner_chicken_basmati_zucchini_plate,Chicken basmati rice and zucchini plate,lunch/dinner,plated_meal,mediterranean,easy,10,20,1|24|69|110|242,Petto di pollo 155g raw | Riso basmati 80g raw | Zucchine 175g raw | Olio EVO 10g raw | Limone 20g raw,579.3,43.8,70.2,13.1,3.4,5,PASS,PASS,0,0,,,,,,,,,PENDING
pilot01_pre_workout_cream_of_rice_banana_honey,Cream of rice with banana and honey,pre_workout,bowl,neutral,easy,4,5,29|90|111,Crema di riso 50g raw | Banana 120g raw | Miele 15g raw,334.4,4.6,80.2,0.8,3.4,3,PASS,PASS,0,0,,,,,,,,,PENDING
pilot01_post_workout_chicken_basmati_pineapple_bowl,Chicken basmati pineapple bowl,post_workout,bowl,neutral,easy,10,20,1|24|100,Petto di pollo 155g raw | Riso basmati 80g raw | Ananas 125g raw,517.8,42.1,79.3,2.6,2.8,3,PASS,PASS,0,0,,,,,,,,,PENDING
pilot02_breakfast_skyr_blueberry_chia_bowl,Skyr blueberry chia bowl,breakfast,bowl,neutral,easy,6,0,51|94|108|111,Skyr naturale 170g raw | Mirtilli 100g raw | Semi di chia 12g raw | Miele 10g raw,252.8,21.4,34.6,4.3,6.5,4,PASS,PASS,2,0,,,,,,,,,PENDING
pilot02_breakfast_egg_spinach_rye_plate,Egg spinach rye plate,breakfast,plated_meal,neutral,easy,8,10,65|68|40|110,Uova intere 120g raw | Spinaci 100g raw | Pane di segale 60g raw | Olio EVO 5g raw,394.2,23.1,33.4,18.8,5.7,4,PASS,PASS,0,0,,,,,,,,,PENDING
pilot02_snack_pear_walnuts,Pear with walnuts,snack,handheld,neutral,easy,5,0,92|105,Pera 160g raw | Noci 20g raw,222.0,3.7,27.1,13.2,6.3,2,PASS,PASS,2,0,,,,,,,,,PENDING
pilot02_lunch_dinner_salmon_quinoa_broccoli_plate,Salmon quinoa broccoli plate,lunch/dinner,plated_meal,mediterranean,medium,10,20,5|32|70|110|242,Salmone 150g raw | Quinoa 70g raw | Broccoli 180g raw | Olio EVO 10g raw | Limone 20g raw,725.0,45.7,58.7,35.2,10.1,5,PASS,PASS,2,0,,,,,,,,,PENDING
pilot02_lunch_dinner_tofu_rice_noodle_pak_choi_bowl,Tofu rice noodle pak choi bowl,lunch/dinner,bowl,asian_inspired,easy,10,15,14|37|234|232|110|255|267,Tofu 160g raw | Noodles di riso 75g raw | Pak choi (cavolo cinese) 150g raw | Germogli di soia 60g raw | Olio EVO 5g raw | Aceto di mele 10g raw | Aglio 3g raw,490.7,22.4,71.1,14.0,4.3,7,PASS,REVIEW_REQUIRED,2,0,,,,,,,,,PENDING
pilot02_lunch_dinner_lentil_pasta_tomato_spinach_bowl,Lentil pasta tomato spinach bowl,lunch/dinner,bowl,italian,easy,8,15,36|82|68|57|110|268,Pasta di lenticchie 80g raw | Pomodoro 150g raw | Spinaci 80g raw | Grana Padano 15g raw | Olio EVO 10g raw | Basilico fresco 5g raw,464.6,26.2,53.7,16.5,12.4,6,PASS,PASS,2,0,,,,,,,,,PENDING
pilot02_lunch_dinner_turkey_sweet_potato_pepper_plate,Turkey sweet potato pepper plate,lunch/dinner,plated_meal,mediterranean,medium,10,18,2|89|72|228|110|276,Fesa di tacchino 160g raw | Patata dolce 200g raw | Peperoni 150g raw | Cipolla 40g raw | Olio EVO 10g raw | Rosmarino 2g raw,501.5,43.6,53.3,13.2,10.1,6,PASS,REVIEW_REQUIRED,4,0,,,,,,,,,PENDING
pilot02_pre_workout_dates_banana_rice_cream,Date banana cream of rice,pre_workout,bowl,neutral,easy,4,5,29|90|102,Crema di riso 40g raw | Banana 100g raw | Datteri 25g raw,305.1,4.3,74.0,0.7,4.8,3,PASS,PASS,0,0,,,,,,,,,PENDING
